alpha,forecast_uk,realized_uk,S_model,save_pure,save_zcdp_rho,save_advanced,save_zcdp_eps
0.0,43.369022205262354,43.25,0.5663097779473765,0.5675,0.5675,0.4689565476776937,0.41701551675973336
0.5,40.47512851585933,40.575,0.5952487148414067,0.59425,0.59425,0.4869116449585933,0.4339194389974622
1.0,31.766890580084734,31.375,0.6823310941991527,0.68625,0.68625,0.5795423161898059,0.5227619327206136
1.5,20.46764594347294,20.495,0.7953235405652705,0.79505,0.79505,0.6893466427483358,0.6324656740354724
2.0,12.207478927306113,11.915,0.8779252107269389,0.88085,0.88085,0.7786583062443462,0.7265639653676059
