alpha,k,Euk,classes,strings,rel_err_pct,over
0.5,50,9.851291787432697,9.825,29.275,0.26688669871942877,2.979643765903308
0.5,150,9.999879189126169,10.0,42.9,0.0012081233337544626,4.29
1.0,50,9.387718903419557,9.375,24.575,0.13548449362841938,2.6213333333333333
1.0,150,9.989344885235331,9.95,39.225,0.3938685237856324,3.9422110552763825
1.5,50,8.255137942312999,8.075,20.125,2.182131220238904,2.492260061919505
1.5,150,9.791109943667385,9.675,32.85,1.1858711048636594,3.395348837209302
