policy,m,k,eps_q,forecast_uk,mean_uk,max_uk,mean_spend,max_spend,within_B
iid,50,40,0.2,19.555409301956793,19.916666666666668,26,3.9833333333333343,5.200000000000002,True
exploit,50,40,0.2,19.555409301956793,5.0,5,1.0,1.0,True
explore,50,40,0.2,19.555409301956793,40.0,40,8.000000000000002,8.000000000000004,True
