process,mean_uk,max_uk,forecast,ratio,within_m,bm_spend,bm_cap
iid,27.136666666666667,34,27.185373276221352,1.0017948633910336,True,6.800000000000001,10.0
sticky(0.3),22.60333333333333,31,27.185373276221352,1.20271523121463,True,6.2,10.0
sticky(0.6),16.71,26,27.185373276221352,1.6268924761353292,True,5.2,10.0
sticky(0.9),7.083333333333333,13,27.185373276221352,3.8379350507606618,True,2.6,10.0
antisticky(0.6),28.113333333333333,36,27.185373276221352,0.9669921725001667,True,7.2,10.0
antisticky(0.9),28.716666666666665,35,27.185373276221352,0.9466757960378881,True,7.0,10.0
without_replace,50.0,50,27.185373276221352,0.5437074655244271,True,10.0,10.0
adaptive_newness,50.0,50,27.185373276221352,0.5437074655244271,True,10.0,10.0
