k,hmm,sim,abs_err,naive_iid,naive_err
20,9.050760145736952,9.0426,0.008160145736951563,10.73916988824475,1.696569888244749
40,13.049082675262015,13.0166,0.03248267526201509,14.749181487258582,1.7325814872585816
80,16.981048922762948,17.0054,0.02435107723705343,18.025755254653898,1.0203552546538965
160,19.32920749900398,19.3422,0.012992500996016787,19.647961939114758,0.3057619391147597
