m,k,alpha,c,emp_tail,chebyshev,holds
20,100,0.5,20.83407991035182,0.0,0.24999999999999944,True
20,100,0.5,21.442818876063118,0.0,0.11111111111111108,True
20,100,1.0,20.649410009409344,0.0,0.2500000000000002,True
20,100,1.0,21.870113456429735,0.0,0.1111111111111111,True
50,100,0.5,45.84723002707961,0.01025,0.25000000000000017,True
50,100,0.5,48.53328078268976,0.0,0.11111111111111098,True
50,100,1.0,37.86902561685971,0.01475,0.2499999999999998,True
50,100,1.0,40.92009313524719,0.00025,0.11111111111111109,True
