alpha,k,Euk,uk,Sk,spend_dmax,spend_elastic,noise_dmax,noise_elastic,forecast_identical
0.0,25,4.981110534068521,5.0,0.8007555786372591,5.0,5.0,7.0,27.17439071448171,True
0.0,100,4.999999998981482,5.0,0.9500000000101851,5.0,5.0,7.0,27.17439071448171,True
1.0,25,4.822403760833781,4.833333333333333,0.8071038495666487,4.833333333333333,4.833333333333333,7.0,27.17439071448171,True
1.0,100,4.999886198224715,5.0,0.9500011380177529,5.0,5.0,7.0,27.17439071448171,True
2.0,25,4.0157493714558505,4.033333333333333,0.839370025141766,4.033333333333333,4.033333333333333,7.0,27.17439071448171,True
2.0,100,4.924302622968003,4.966666666666667,0.95075697377032,4.966666666666667,4.966666666666667,7.0,27.17439071448171,True
